"text","id.num"
"On September 17 just after 1:50 p.m., a 27-year-old deputy sheriff working on behalf of the Rancho Cordova Police Department (RCPD) was killed and another deputy sheriff was wounded while answering a call for service. [RCPD police services are provided under contract by the Sacramento County Sheriff’s Department (SCSD).] At 1:44 p.m., the SCSD communications center received a call from someone at an automotive parts store in Rancho Cordova regarding a disturbance involving a customer threatening store employees. Dispatch radioed the two deputies, who arrived on the scene simultaneously in separate patrol vehicles. Once inside the store, the deputies, who were both dressed in RCPD uniforms, attempted to speak to the suspect, but he ignored their questions and walked away from them. The deputies pursued him, but the suspect pulled a .40-caliber semiautomatic handgun from the front area of his clothing and pointed it at the deputies and a store employee. The suspect shot the employee once in the back, then began shooting at the deputies. The 27-year-old deputy, who had 4 years of law enforcement experience and was wearing body armor at the time of the incident, attempted to move to cover, but the suspect pursued him, shooting two rounds from close range into the deputy’s rear upper torso/back and in the rear of his head. Meanwhile, the other deputy, who was 28 years old and had more than 3 years of law enforcement experience, fired at the suspect as he ran outside the building. The deputy took cover, reloaded her handgun, and continued to scan the area for the suspect. The suspect re-entered the building through a service door, flanking the deputy. The suspect and the deputy, who was also wearing body armor, again exchanged gunfire, during which the deputy was wounded in the arms/hands. The suspect, who was wounded in the left leg, fled the store. Responding deputies encountered the suspect as he was running along the road, so they exited their patrol vehicle and ordered him to stop. He refused and continued running. The deputies got back into their patrol vehicle and continued the pursuit as the suspect ran into a nearby parking lot. When the deputies spotted him again, they saw that he was carrying a firearm. They stopped and exited the patrol vehicle, and the suspect began firing at them. The deputies returned gunfire, and the suspect sustained a wound to the back, falling to the ground. The suspect was taken into custody and transported to an area hospital, where he received treatment for his injuries. While these events were transpiring, the 28-year-old deputy began rendering first aid to the severely injured 27-year-old deputy at the automotive parts store. Personnel from the Sacramento Metropolitan Fire Department arrived and continued life-saving efforts, but the deputy succumbed to his head injury. The 28-year-old deputy was admitted to the hospital for treatment of her injuries and had not returned to duty at the time this report was submitted to the FBI. The 38-year-old suspect was on probation at the time of the incident and was known to law enforcement as being a user of a controlled substance with a history of violence and mental illness. He was charged with Murder, Attempted Murder, and Felon/Addict in Possession of a Firearm. His criminal history included arrests for assault on a law enforcement officer, resisting arrest, a weapons violation, and a drug law violation. ",169
"Approximately 2 a.m. on July 2, a 60-year-old police officer with the Chicago Police Department was shot and killed while attempting to make an arrest. The 27-year veteran of law enforcement was flagged down by a Chicago Transit Authority bus driver who requested that the police officer assist him with a woman causing a disturbance on his bus. When the police officer, who was wearing body armor, approached the woman, a struggle ensued, and both fell to the ground. During the struggle, the woman grabbed the police officer’s .38-caliber revolver and shot him in the front of the head. She then used the same gun to shoot at responding officers. Those officers returned fire, hitting and wounding the woman. The victim police officer was transported to a local hospital where he was pronounced dead. The 44- year-old offender, who was a known drug user with prior mental disorders, was also taken to a local hospital for medical attention and then arrested and charged with First-Degree Murder.",612
"On February 15, at 11:34 a.m., a 56-year-old lieutenant with the Chattahoochee Hills Police Department (CHPD) was shot to death in an unprovoked attack. The lieutenant, a 30-year veteran of law enforcement, was on patrol in the city. Around noon, a county dispatcher received a telephone call from a passerby who had come upon the lieutenant’s patrol vehicle and discovered the lieutenant inside. Responding units arrived at the scene and found the patrol car still running and the back window shattered. Evidence showed that an attacker had shot five rounds into the vehicle with a .223-caliber semiautomatic rifle. The victim lieutenant was in the front driver’s seat with bullet wounds to his chest, his arms/hands, and a fatal wound to the front of his head. He was pronounced dead a short time later. The next day, tips called in to the Georgia Bureau of Investigation, the CHPD’s tip line, and the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) provided information to investigators about the alleged shooter and the murder weapon. A caller indicated that the suspect was in the area where the lieutenant had been shot and that the weapon used in the slaying had originally been purchased as a non-automatic weapon but had been altered by the alleged shooter to be “fully automatic.” When the tipster spoke with the ATF agent, the individual indicated that the alleged shooter had said that when he shot the lieutenant, the weapon was on “full auto.” On February 17, a 44-year-old man was arrested for the shooting and charged with Murder, Aggravated Assault, and Possession of a Firearm. The man, who was under the influence of alcohol at the time of the incident, had a prior criminal record that included violent crime and weapons violations. He also was acquainted with the victim lieutenant through a law enforcement relationship.",832
"On June 9 around 7 p.m., a 38-year-old investigator with the Nash County Sheriff’s Office was shot and killed during a tactical situation while attempting to serve First-Degree Murder warrants in Kinston. The 9-year veteran of law enforcement was working with a violent fugitive task force with the U.S. Marshals Service. Earlier in the day, the task force had arrived at an apartment building with a search warrant and searched an apartment there. They found and seized weapons, but did not locate the suspects for whom they were looking, so the officers left the scene. After further investigation, it was determined that the suspects were actually in the apartment building but located in a different apartment than the one they had searched. The team reconvened and returned to the building. The team took positions, with the investigator taking a position in a stairway above the apartment, and contact was attempted with the residents of the apartment. After a bit, the group decided to back out of the area and regroup. As the investigator descended the stairway and made his way into the corridor, he passed the front door of the apartment. At that time, a suspect inside fired through the door with a .40-caliber semiautomatic handgun. The investigator was struck three times: in the foot, in the thigh above the knee, and, fatally, in the rear left upper back through the armhole of his body armor. Four suspects, aged 26-, 18-, 17-, and 16-years-old, were subsequently arrested and charged with First-Degree Murder. The 18-year-old was also charged with a second count of First-Degree Murder. Each suspect, with the exception of the 16-year-old, had prior arrests.",1066
"A special agent with the Division of Criminal Investigation, Madison, Wisconsin Department of Justice (DOJ), died November 5 from injuries he received as the target of an attempted armed robbery on October 29. The 34-year-old veteran officer had 12 years of experience in law enforcement, serving as a police officer with the city of Milwaukee for seven years prior to joining the DOJ. Assigned to the Narcotics Bureau at the time of the incident, the officer was on surveillance duty, wearing a sweatshirt with an agency logo, when at midnight, he stopped at a Milwaukee convenience store. After leaving the store, he was confronted in the parking lot by two men who had allegedly watched him enter the store and viewed him as a profitable robbery mark. The two men approached the agent, and one of them pointed a 9 mm semiautomatic handgun at him as the other patted him down for weapons. The agent identified himself as a police officer, and the perpetrators discovered the agent’s service weapon. The man holding the handgun shot the agent twice at close range, striking him once in the abdomen, before the two subjects fled the scene. The agent was taken to a local hospital where he died from his wounds seven days later. Investigators apprehended the perpetrators on November 9. The 26-year-old offender who had fired the gun was charged with First-Degree Intentional Homicide, Attempted Robbery, and Possession of a Firearm by a Felon. A known drug dealer, he had a criminal record that included convictions for violent crimes, drugs, and weapons violations. The second offender, also a known drug dealer, was charged with Felony Murder. On probation at the time of the incident, the 19-year-old had a criminal record that included convictions as a juvenile, and convictions on drug charges and police assault charges.",572
"Around 9 p.m. on October 28, a 26-year-old police officer with the Glendale Police Department was shot and killed while helping a probation officer at an apartment complex. The police officer, who had nearly 4 years of law enforcement experience, was assisting the probation official at the residence of a probationer who allegedly wanted to turn in a firearm. The subject, the probation officer, and the police officer were conversing in front of the apartment complex when the subject produced a .380-caliber semiautomatic handgun and began shooting the police officer. The victim officer was wounded in the upper and lower torso/back despite his body armor, in the arms/hands, and in the rear of the head. After mortally wounding the officer, the subject stole the officer’s service weapon and fled the scene in the officer’s police cruiser. Responding officers caught up with the subject when he crashed the cruiser less than a mile away from the shooting. The 20-year-old subject exited the vehicle to flee on foot but was confronted by the officers. He pointed the firearm at officers who responded with gunfire. The subject was critically wounded in the head and taken to a nearby hospital. The victim officer was also transported to the hospital where he died from the rear head wound in the early morning hours of October 29.",650
"On December 24 at 5:36 a.m., a 43-year-old lieutenant with the Webster Police Department was killed in an ambush while responding in his capacity as a volunteer fireman to a report of a house and vehicle on fire. Within seconds of arriving at the scene, the firefighters were ambushed by a concealed individual who was firing rounds from a .223-caliber semiautomatic rifle. The lieutenant realized what was happening and shouted to the other firefighters advising shots were being fired. As firefighters were being wounded, the off-duty lieutenant, who had 19 years of law enforcement experience, exited the fire truck from the passenger side and, now acting in the capacity of a law enforcement officer, traveled on foot in the direction of the shooter. During this advance, the veteran lieutenant was fatally shot in the front of the head. Due to the continuing threat to first responders, it was nearly an hour before a medic could safely assess the victim lieutenant’s condition. After the threat area was secured, the victim lieutenant was transported to a medical examiner’s office where he was pronounced dead. The 62-year- old suspect, who had a prior criminal record, which included murder, committed suicide at the scene.",818
"A park ranger with the Mount Rainier National Park Service (NPS) was shot and killed around 10:40 a.m. on January 1, while she was assisting another ranger who was making a traffic stop. Shortly before the incident, a man drove his vehicle past a checkpoint set up to ensure vehicles were four-wheel drives or equipped with chains due to the poor road and weather conditions in the park. The ranger who was operating the checkpoint planned to meet another ranger at a safe area to conduct a traffic stop. The ranger from the checkpoint followed the suspect’s vehicle while a 34-year-old ranger, who had 11 years of law enforcement experience, came from the opposite direction. The 34-year-old veteran ranger positioned her vehicle to block the roadway and turned on the emergency lights. After the two rangers had blocked in the man’s vehicle, the man exited his vehicle and began shooting a .223-caliber semiautomatic rifle at them. The rangers backed up and attempted to move a safe distance from the line of fire, their vehicles bouncing off of the snow banks in the process. The ranger from the checkpoint radioed dispatch indicating “shots fired” and successfully escaped the scene. An NPS maintenance employee had parked about 400 feet above the traffic stop to divert oncoming traffic and witnessed the entire incident. He reported the other ranger’s vehicle slammed into a snow bank as she was maneuvering away after the shots had been fired. The employee went to her vehicle and found the ranger had been struck by the gunfire. Because the vehicle was still in gear and the doors would not open, he broke the passenger side window in order to check on her. One of the rounds fired had penetrated her body armor, wounding her in the front upper torso/chest. The victim park ranger received a fatal gunshot wound to the front of her head. The 24-year-old suspect fled on foot and was found dead in a creek within the park on January 2. The suspect’s cause of death was determined to be accidental drowning and hypothermia. The suspect had a prior criminal record and was found to be under the influence of alcohol and narcotics at the time of the incident. Just before 1 a.m. on February 23, a 44-year-old trooper with the Washington State Patrol, Bremerton, requested information on a vehicle during a traffic stop in Gorst. When dispatchers could not make further contact with the trooper, a deputy sheriff was sent to investigate and found the veteran trooper, who had 16 years of law enforcement experience and who was wearing body armor, along the roadside with a single gunshot wound to the front of his head from a .40-caliber semiautomatic handgun. The victim trooper was transported to a nearby hospital and confirmed dead. About four hours after the shooting, the vehicle in question was found abandoned a few miles from the scene. Investigators learned the owner of the abandoned vehicle had obtained a ride to a friend’s property in a nearby town. As a SWAT team surrounded the friend’s property a gunshot was heard coming from a trailer. A female exited the trailer and told the SWAT team the 28-year-old suspect had shot himself. The female also indicated the suspect had said he shot “a cop.” The suspect was taken to a nearby hospital and later died of his self-inflicted gunshot wound. He was a known drug dealer with a prior criminal record, which included drug violations, violent crime, and police assault. The suspect was under the influence of alcohol at the time of the incident.",526
"In the early morning hours of November 13, a 28-year-old police officer from the Dallas Police Department was shot and killed when he and his partner responded to a second call for police assistance for a domestic disturbance involving an armed offender. The officers arrived at the scene and learned that the suspect had fled the location of the disturbance and that the initial responding officers were searching the area. At 3 a.m., as the officers were joining the search, the suspect began firing a .357-caliber revolver in their direction. In the exchange of gunfire that followed, the victim officer, a veteran with nearly 6 years of law enforcement experience, managed to return 3 shots before he was struck once in his upper torso. The bullet entered between the side panels of his body armor, immediately killing him. A 28-year-old man, who was under the influence of alcohol at the time of the incident, was arrested at the scene. The alleged shooter, who had a prior criminal record, was charged with Capital Murder, 3 counts of Aggravated Assault on a Law Enforcement Officer, and Aggravated Assault.",738
"A 43-year-old deputy sheriff with the Pottawattamie County Sheriff’s Office (PCSO) was killed, and a 59-year-old deputy sheriff with the PCSO was wounded in Council Bluffs while transporting prisoners at 10:55 a.m. on May 1. The deputies were conveying two prisoners from court back to the county jail. During the transport, a male prisoner managed to unlock his handcuffs and leg shackles. When the transport van arrived at the jail, the deputies exited and moved to the back of the van. They opened the doors, and the 59-year-old deputy, a veteran of law enforcement with more than 39 years of experience, escorted the female prisoner toward the jail. The male prisoner exited the back of the van and immediately began assaulting the 43-year-old deputy, a 16-year law enforcement veteran, with a homemade cutting instrument, cutting the deputy’s head, neck, arms/hands, and front legs/feet. With the deputy down, the suspect ran to the driver’s seat of the van. The injured deputy, who was wearing body armor, recovered and entered the van through the front passenger’s side door. The 59-year-old deputy, who was also wearing body armor, ran to the driver’s side of the van to attempt to apprehend the suspect. During the struggle, the suspect gained possession of one of the deputy’s service weapons, a .40-caliber semiautomatic handgun. The suspect fatally shot the injured 43-year-old deputy in the side of the head with the service weapon. The suspect then shot the 59-year-old deputy in the front lower torso/abdomen below his protective vest and took possession of the other deputy’s service weapon. The injured 59-year-old deputy fell to the ground outside the van. The suspect exited the van and took the van keys and extra ammunition from the 59-year-old deputy. The suspect got back in the van, started it with the stolen keys, and fled the scene by ramming the closed sally port door. At 10:57 a.m., the suspect pulled up behind two motorists in a pickup truck at an intersection. The truck driver noticed the suspect exiting the van dressed in a yellow jumpsuit carrying a firearm and realized the man was an escaped prisoner. As the suspect attempted to open the driver’s side door of the truck, the truck driver tried to drive away, but the suspect fired one round through the truck’s window, striking the driver in the neck. The injured motorist continued driving until he drove into a ditch north of the intersection. The suspect returned to the van and fled. A few minutes later, the suspect drove up behind another vehicle stopped at a stop sign. The suspect drove past the vehicle and parked in front of it in the middle of an intersection. The suspect exited the van, approached the vehicle, pointed the firearm at the driver, and ordered her to get out of her car. The woman exited her vehicle and began to walk away; however, the suspect soon realized the vehicle had a manual transmission, which he could not drive. He ordered the woman back into the vehicle and forced her at gunpoint to drive to Omaha, Nebraska. Once they reached Omaha, the woman convinced the suspect to let her go. After exiting the vehicle, the woman called for help. The 24-year-old suspect was arrested in Omaha the same day and charged with First-Degree Murder, Voluntary Manslaughter, Attempted Murder, two counts of Robbery in the First and Second Degrees, and Escape from Custody. He had a criminal history that included murder charges. The deputies were transported to a local hospital where the 43-year-old deputy was pronounced dead. The 59-year-old deputy was treated for severe injuries. At the time this incident was reported to the FBI, the injured deputy had not returned to duty.",40
